Primeiro Nome,Sobrenome,Num,Pos,Status,Situação,Idade,Altura,Pé,Contrato Anos,Contrato Meses,Multa,Valor,Salário,OVR,POT,Dribles,Pé Ruim,S1,S2,S3,S4,S5,S6
Yaimar Abel,Medina,-,LE,Prioridade,Observação,20,175,Esq.,4,0,0,3700000,10000,70,84,3,2,91,58,64,68,61,64
Mattia ,Zanotti,-,LD,Prioridade,Observação,22,173,Dir.,4,0,0,6500000,9000,74,82,3,3,78,59,70,74,68,72
Kosta ,Nedeljković,-,LD,Alternativa,Observação,19,184,Dir.,0,0,0,4800000,39000,72,83,2,2,81,44,65,69,68,67
Francesco,Camarda,-,ATA,Alternativa,Observação,17,184,Dir.,0,0,0,2300000,7000,65,87,3,3,66,66,51,66,24,54
Nathan,De Cat,-,VOL,Alternativa,Observação,17,192,Dir.,0,0,0,2900000,7000,68,87,3,2,61,48,63,64,66,67
Deniz,Dönmezer,-,GOL,Alternativa,Observação,16,190,Dir.,0,0,0,625000,500,60,82,2,1,60,59,57,61,32,58
Toni,Fernández,-,PD,Alternativa,Observação,17,174,Esq.,0,0,0,1500000,11000,64,83,2,4,73,59,57,67,23,49
Dro,Fernández,-,MC,Alternativa,Observação,17,182,Dir.,0,0,0,3600000,19000,70,85,3,3,70,56,67,75,54,55
Mussa,Kaba,-,VOL,Alternativa,Observação,16,197,Dir.,0,0,0,975000,4000,62,85,3,2,57,35,59,57,61,59
Franco,Mastantuono,-,MD,Alternativa,Observação,17,178,Esq.,0,0,49500000,22000000,66000,77,87,3,3,75,71,75,80,50,65
Wael,Mohya,-,MEI,Alternativa,Observação,16,176,Dir.,0,0,0,3600000,9000,71,85,4,3,71,62,63,75,38,36
Jorthy,Mokio,-,VOL,Prioridade,Observação,17,183,Esq.,0,0,0,3800000,5000,71,88,4,2,69,51,64,71,68,68
Mikey,Moore,-,PE,Prioridade,Observação,17,180,Dir.,0,0,0,9500000,40000,75,88,4,3,76,68,72,76,34,53
Quentin,Ndjantou,-,PE,Alternativa,Observação,18,182,Dir.,0,0,0,3200000,19000,69,83,3,3,76,65,61,73,42,57
Rio,Ngumoha,-,ME,Prioridade,Observação,16,170,Dir.,0,0,0,6000000,29000,73,88,3,4,90,66,64,78,35,53
Ruud,Nijstad,-,ZAG,Alternativa,Observação,17,193,Esq.,0,0,0,1700000,2000,65,84,3,2,74,37,56,65,64,68
Oskar,Pietuszewski,-,ME,Alternativa,Observação,17,179,Dir.,0,0,0,3600000,4000,71,85,3,4,79,63,66,72,23,53
Thiago,Pitarch,-,MC,Alternativa,Observação,17,179,Dir.,0,0,0,3000000,29000,68,85,3,3,66,53,65,65,55,64
Luca,Reggiani,-,ZAG,Alternativa,Observação,17,194,Dir.,0,0,4650000,2000000,7000,66,82,3,2,62,30,46,59,66,64
Sean,Steur,-,MC,Prioridade,Observação,17,183,Dir.,0,0,0,3500000,5000,69,86,4,3,77,53,69,74,57,63
Axel,Tape,-,ZAG,Alternativa,Observação,18,180,Dir.,0,0,0,2400000,11000,67,84,3,3,70,43,59,65,69,58
Tylel,Tati,-,ZAG,Alternativa,Observação,17,192,Esq.,0,0,0,3000000,5000,70,83,2,2,69,35,52,54,69,73
Cardoso,Varela,-,PE,Prioridade,Observação,16,169,Dir.,0,0,0,3300000,6000,68,88,4,3,77,64,62,71,25,44
